,date,close,diff,open,high,low,volume,diff+-,up/down
567,2018-11-16,15050,0,15100,15100,14950,438574,0.0,none
568,2018-11-15,15050,150,15050,15200,14900,701490,-150.0,0
571,2018-11-14,15200,100,15200,15300,15000,574505,-100.0,0
572,2018-11-13,15300,0,15100,15300,15000,657653,0.0,none
573,2018-11-12,15300,200,15000,15350,15000,499608,200.0,1
574,2018-11-09,15100,250,15200,15300,15050,619988,-250.0,0
575,2018-11-08,15350,300,15250,15400,15200,897043,300.0,1
579,2018-11-07,15050,50,15150,15300,14950,912255,-50.0,0
580,2018-11-06,15100,50,15100,15200,14900,633227,50.0,1
581,2018-11-05,15050,50,14850,15050,14750,708435,50.0,1
582,2018-11-02,15000,300,14650,15000,14650,860719,300.0,1
583,2018-11-01,14700,150,14900,15050,14600,1042440,-150.0,0
586,2018-10-31,14850,450,14400,14950,14200,1474061,450.0,1
587,2018-10-30,14400,500,14900,14950,14350,1845022,-500.0,0
588,2018-10-29,14900,100,15050,15250,14850,1119203,-100.0,0
589,2018-10-26,15000,500,14750,15350,14750,2528594,500.0,1
590,2018-10-25,14500,250,14550,14650,14350,998192,-250.0,0
594,2018-10-24,14750,400,14450,14800,14400,1079121,400.0,1
595,2018-10-23,14350,300,14550,14600,14300,638059,-300.0,0
596,2018-10-22,14650,200,14400,14700,14350,518711,200.0,1
597,2018-10-19,14450,50,14300,14550,14250,756229,50.0,1
598,2018-10-18,14400,150,14550,14600,14300,648880,-150.0,0
601,2018-10-17,14550,100,14550,14800,14500,676579,100.0,1
602,2018-10-16,14450,0,14450,14600,14400,653598,0.0,none
603,2018-10-15,14450,0,14450,14550,14250,828972,0.0,none
604,2018-10-12,14450,150,14350,14600,14250,878134,150.0,1
605,2018-10-11,14300,800,14650,14900,14250,1756133,-800.0,0
609,2018-10-10,15100,250,15500,15500,15100,798647,-250.0,0
610,2018-10-08,15350,0,15400,15500,15300,459898,0.0,none
611,2018-10-05,15350,200,15450,15600,15250,730283,-200.0,0
612,2018-10-04,15550,350,15300,15600,15250,1315610,350.0,1
613,2018-10-02,15200,100,15250,15350,15100,925435,-100.0,0
616,2018-10-01,15300,50,15250,15400,15200,711262,50.0,1
617,2018-09-28,15250,300,15000,15250,14950,888534,300.0,1
618,2018-09-27,14950,200,14650,15000,14650,1187419,200.0,1
619,2018-09-21,14750,250,14600,14900,14550,1679776,250.0,1
620,2018-09-20,14500,150,14400,14550,14350,833276,150.0,1
624,2018-09-19,14350,150,14500,14550,14300,1002839,-150.0,0
625,2018-09-18,14500,50,14500,14550,14400,591902,-50.0,0
626,2018-09-17,14550,150,14600,14700,14450,389538,-150.0,0
627,2018-09-14,14700,0,14700,14800,14600,748653,0.0,none
628,2018-09-13,14700,150,14650,14750,14550,652573,150.0,1
631,2018-09-12,14550,0,14550,14650,14500,713871,0.0,none
632,2018-09-11,14550,100,14550,14650,14500,484704,-100.0,0
